opportunity_id,prospect_id,chosen_proposal_id,status,next_action_date
901,201.0,,New,2024-07-15
902,202.0,512.0,Contacted,2024-07-16
903,203.0,,New,2024-07-15
904,204.0,505.0,Follow-up,2024-07-18
905,205.0,530.0,Closed,2024-07-20
906,1.0,301.0,In Chat,2026-02-23
907,1.0,301.0,In Chat,2026-02-23
908,1.0,301.0,In Chat,2026-02-23
909,1.0,301.0,In Chat,2026-02-23
910,1.0,PROP-27961B,Call Scheduled,2026-02-23
911,1.0,301,In Chat,2026-02-23
912,1.0,PROP-08E183,Call Scheduled,2026-02-23
913,1.0,301,New,2026-02-23
914,1.0,301,In Chat,2026-02-23
915,1.0,PROP-A6A9BF,New,2026-02-23
916,1.0,PROP-A6A9BF,Call Scheduled,2026-02-23
917,,PROP-D86EC8,New,2026-02-23
918,1.0,301,New,2026-02-23
919,1.0,301,In Chat,2026-02-23
920,1.0,PROP-CEA0CF,New,2026-02-23
921,1.0,PROP-CEA0CF,Call Scheduled,2026-02-23
922,,PROP-8A588D,New,2026-02-23
923,1.0,301,New,2026-02-23
924,1.0,301,In Chat,2026-02-23
925,1.0,PROP-3EEE79,New,2026-02-23
926,1.0,PROP-3EEE79,Call Scheduled,2026-02-23
927,,PROP-AAA7E3,New,2026-02-23
928,,PROP-1C89F0,New,2026-02-23
929,,PROP-1C89F0,In Chat,2026-02-23
930,1.0,301,New,2026-03-15
931,1.0,301,In Chat,2026-03-15
932,1.0,301,New,2026-03-15
933,1.0,301,In Chat,2026-03-15
934,1.0,PROP-19A04F,New,2026-03-15
935,1.0,PROP-19A04F,Call Scheduled,2026-03-15
936,,PROP-5AF5BD,New,2026-03-15
